,features,weights,topic
0,business,12361.869481483236,1
1,district,8888.72628139455,1
2,employment,8834.998344473179,1
3,activity,8800.076958805072,1
4,outlook,7025.389168883045,1
5,spending,6952.3373330700315,1
6,investment,6705.946224963356,1
7,capital,6431.26663507744,1
8,continue,6074.866063218558,1
9,recent,5827.326962466213,1
10,market,19032.117539201314,2
11,panel,9337.653928383035,2
12,asset,8598.842527332157,2
13,treasury,7859.283933367075,2
14,questions,7791.233228952863,2
15,meeting,7070.4838556086215,2
16,foreign,6482.054289606425,2
17,report,5705.417179766366,2
18,dollar,5696.699627103657,2
19,fomc,5670.937525632469,2
20,going,36687.524980324815,3
21,say,17076.41570016603,3
22,really,15588.548149330642,3
23,way,14342.077784990268,3
24,want,13459.989873877606,3
25,people,13229.336087835389,3
26,lot,12220.778236097536,3
27,point,10937.012591148345,3
28,things,10657.97193544117,3
29,know,10387.322150162443,3
30,policy,26955.05908124009,4
31,rate,20614.983487550177,4
32,funds,18176.357933434203,4
33,committee,16019.944016780764,4
34,alternative,13481.608313816618,4
35,statement,11966.190480218798,4
36,chairman,10944.056541193979,4
37,time,9467.369794953749,4
38,language,8954.571843669915,4
39,meeting,8417.933631602704,4
40,question,15137.81579164349,5
41,right,10570.15308878613,5
42,know,4809.444315009161,5
43,taking,4409.412790534099,5
44,ask,3912.0291216930386,5
45,thought,3668.7695787584007,5
46,sentence,3662.7181716403143,5
47,answer,3299.859024051906,5
48,useful,3263.3796240955994,5
49,let,3120.258654614481,5
50,forecast,26743.147138755925,6
51,data,17318.549189806952,6
52,year,13057.594453277317,6
53,september,8717.07891115176,6
54,staff,8103.655073800021,6
55,period,7353.827201967926,6
56,high,6960.445806988621,6
57,little,6898.08839804069,6
58,current,6515.321888956145,6
59,numbers,5973.957763414945,6
60,percent,47600.925538143616,7
61,growth,26531.36977393519,7
62,rate,23448.515655800285,7
63,year,16824.51882229779,7
64,unemployment,12943.779623864773,7
65,quarter,11035.390983944852,7
66,potential,8599.27701974941,7
67,gdp,8490.185620375361,7
68,term,7777.728492951758,7
69,output,6784.910439888133,7
70,inflation,61411.59417234891,8
71,rates,26682.761369139753,8
72,markets,18423.032910677335,8
73,policy,18272.33974728687,8
74,expectations,16884.477028009376,8
75,financial,16298.724308769977,8
76,economy,15984.115625197714,8
77,growth,14517.490580282456,8
78,economic,14505.153081321674,8
79,risk,12261.783588270437,8
80,president,26635.157505315325,9
81,governor,12481.242182562888,9
82,purchases,10488.176311434254,9
83,billion,8600.190469782094,9
84,chairman,7731.927169709945,9
85,program,7300.781822706539,9
86,march,7137.037740176606,9
87,information,7100.808458501312,9
88,debt,6568.520911609552,9
89,sheet,6420.276447126808,9
90,prices,20526.6002763755,10
91,labor,13561.571475528704,10
92,sales,10308.391584856658,10
93,housing,8678.764806657206,10
94,demand,8540.385955463673,10
95,market,8023.358985116395,10
96,sector,7814.1808628285935,10
97,core,7812.821204969895,10
98,economy,6716.210284487216,10
99,oil,5818.586923281199,10
