,preferred,bias,member,Time
0,8.125,,49,168.0
1,8.500,,57,168.0
2,8.500,,71,168.0
3,8.542,A,17,168.0
4,8.564,A,13,168.0
5,9.000,,9,168.0
6,9.000,,11,168.0
7,9.000,,14,168.0
8,9.000,,32,168.0
9,9.000,,64,168.0
10,9.000,,67,168.0
11,9.125,,15,168.0
12,8.000,,33,168.0
13,8.328,LE,7,168.0
14,8.497,A,58,168.0
15,8.498,A,27,168.0
16,9.000,,26,168.0
17,9.000,,45,168.0
36,7.707,LE,49,170.0
37,7.750,,32,170.0
38,8.000,,11,170.0
39,8.000,,13,170.0
40,8.000,,17,170.0
41,8.000,,33,170.0
42,8.000,,57,170.0
43,8.000,,71,170.0
44,8.000,,76,170.0
45,8.016,A,26,170.0
46,8.033,A,64,170.0
47,8.271,LT,27,170.0
48,7.659,LE,5,170.0
49,8.000,,14,170.0
50,8.000,,22,170.0
51,8.000,,45,170.0
52,8.000,,58,170.0
53,8.000,,15,170.0
54,8.000,,17,171.0
56,7.971,,13,171.0
57,8.000,,33,171.0
72,7.933,LE,17,171.0
73,8.026,LE,33,171.0
74,8.238,A,13,171.0
75,8.250,,49,171.0
76,8.500,,11,171.0
77,8.500,,26,171.0
78,8.500,,32,171.0
79,8.500,,57,171.0
80,8.500,,58,171.0
81,8.500,,64,171.0
82,8.500,,71,171.0
83,8.500,,76,171.0
84,8.500,,5,171.0
85,8.500,,7,171.0
86,8.500,,15,171.0
87,8.500,,22,171.0
88,8.500,,27,171.0
89,8.500,,45,171.0
92,8.418,,33,173.0
93,8.500,,11,173.0
107,7.500,,13,174.0
108,7.500,,11,174.0
109,7.500,,17,174.0
110,7.500,,26,174.0
111,7.500,,33,174.0
112,7.500,,49,174.0
113,7.500,,64,174.0
114,7.500,,71,174.0
115,7.500,,76,174.0
116,7.500,,80,174.0
117,7.500,,5,174.0
118,7.500,,14,174.0
119,7.500,,15,174.0
120,7.500,,22,174.0
121,7.500,,27,174.0
122,7.500,,45,174.0
123,7.500,,58,174.0
124,7.500,,13,175.0
125,7.500,,49,175.0
128,7.483,,71,175.0
129,7.500,,11,175.0
141,6.313,,71,176.0
142,6.313,,49,176.0
143,6.313,,11,176.0
144,6.313,,13,176.0
145,6.313,,17,176.0
146,6.313,,26,176.0
147,6.313,,32,176.0
148,6.313,,33,176.0
149,6.313,,64,176.0
150,6.000,,76,176.0
151,6.000,,27,176.0
152,6.000,,52,176.0
153,6.313,,58,176.0
154,6.313,,14,176.0
155,6.313,,15,176.0
156,6.313,,22,176.0
157,6.313,,45,176.0
176,4.974,A,13,178.0
177,5.000,,49,178.0
178,5.000,,71,178.0
179,5.370,LT,11,178.0
180,5.375,,17,178.0
181,5.375,,26,178.0
182,5.375,,33,178.0
183,5.375,,57,178.0
184,5.375,,64,178.0
185,5.375,,76,178.0
186,5.375,,32,178.0
187,5.750,,52,178.0
188,4.500,,58,178.0
189,4.500,,27,178.0
190,5.000,,14,178.0
191,5.375,,15,178.0
192,5.375,,22,178.0
195,5.222,,13,179.0
196,5.375,,57,179.0
210,4.125,,49,180.0
211,4.250,,57,180.0
212,4.375,,17,180.0
213,4.375,,80,180.0
214,4.375,,13,180.0
215,4.376,A,52,180.0
216,4.389,A,64,180.0
217,4.389,A,11,180.0
218,4.500,,76,180.0
219,4.800,LT,26,180.0
220,5.375,,58,180.0
221,4.761,LT,15,180.0
222,4.250,,27,180.0
223,4.375,,45,180.0
224,4.375,,14,180.0
225,5.375,,22,180.0
242,3.500,,17,182.0
243,3.500,,49,182.0
244,3.500,,57,182.0
245,3.500,,58,182.0
246,3.500,,64,182.0
247,3.500,,71,182.0
248,3.625,,13,182.0
249,3.750,,52,182.0
250,3.538,LE,32,182.0
251,4.185,LT,11,182.0
252,4.227,LT,45,182.0
253,4.500,,14,182.0
254,3.514,LE,15,182.0
255,3.500,,76,182.0
256,3.500,,22,182.0
257,3.735,,26,182.0
258,3.519,,58,183.0
260,3.816,,17,183.0
261,3.625,,49,183.0
263,3.765,,71,183.0
264,3.538,,11,183.0
272,4.250,,49,184.0
273,4.250,,58,184.0
274,4.355,LE,71,184.0
275,4.435,LE,11,184.0
276,4.453,LE,13,184.0
277,4.750,,52,184.0
278,5.149,LT,57,184.0
279,4.500,,14,184.0
280,4.500,,17,184.0
281,4.750,,32,184.0
282,4.750,,64,184.0
283,4.750,,45,184.0
284,4.500,,15,184.0
