,preferred,bias,member,Time
0,8.125,,49,168.0
1,8.500,,57,168.0
2,8.500,,71,168.0
3,8.542,A,17,168.0
4,8.564,A,13,168.0
5,9.000,,9,168.0
6,9.000,,11,168.0
7,9.000,,14,168.0
8,9.000,,32,168.0
9,9.000,,64,168.0
10,9.000,,67,168.0
11,9.125,,15,168.0
12,8.000,,33,168.0
13,8.328,LE,7,168.0
14,8.497,A,58,168.0
15,8.498,A,27,168.0
16,9.000,,26,168.0
17,9.000,,45,168.0
18,Robertson,,76,168.0
19,Brimmer,,17,169.0
20,Hayes,,76,169.0
21,Heﬂin,,13,169.0
22,Kimbrel,,33,169.0
23,Maisel,,64,169.0
24,Mitchell,,11,169.0
25,Sherrill,,32,169.0
26,Galusha,,45,169.0
27,Morris,,49,169.0
28,Baughman,,57,169.0
29,Clay,,71,169.0
30,Coldwell,,27,169.0
31,Eastburn,,58,169.0
32,Lewis,,5,169.0
33,Lewis,,14,169.0
34,Staff,proposal,15,169.0
35,Staff,proposal,22,169.0
36,7.707,LE,49,170.0
37,7.750,,32,170.0
38,8.000,,11,170.0
39,8.000,,13,170.0
40,8.000,,17,170.0
41,8.000,,33,170.0
42,8.000,,57,170.0
43,8.000,,71,170.0
44,8.000,,76,170.0
45,8.016,A,26,170.0
46,8.033,A,64,170.0
47,8.271,LT,27,170.0
48,7.659,LE,5,170.0
49,8.000,,14,170.0
50,8.000,,22,170.0
51,8.000,,45,170.0
52,8.000,,58,170.0
53,8.000,,15,170.0
54,8.000,,17,171.0
55,19,,49,171.0
56,7.971,,13,171.0
57,8.000,,33,171.0
58,Daane,,57,171.0
59,Maisel,,64,171.0
60,Burns,,71,171.0
61,Heﬂin,,32,171.0
62,Hickman,,76,171.0
63,Mitchell,,26,171.0
64,Robertson,,11,171.0
65,Sherrill,,58,171.0
66,Hayes,,5,171.0
67,Swan,,15,171.0
68,Francis,,22,171.0
69,Brimmer,,27,171.0
70,Morris,,14,171.0
71,0,,45,171.0
72,7.933,LE,17,171.0
73,8.026,LE,33,171.0
74,8.238,A,13,171.0
75,8.250,,49,171.0
76,8.500,,11,171.0
77,8.500,,26,171.0
78,8.500,,32,171.0
79,8.500,,57,171.0
80,8.500,,58,171.0
81,8.500,,64,171.0
82,8.500,,71,171.0
83,8.500,,76,171.0
84,8.500,,5,171.0
85,8.500,,7,171.0
86,8.500,,15,171.0
87,8.500,,22,171.0
88,8.500,,27,171.0
89,8.500,,45,171.0
90,12,,49,173.0
91,19,,64,173.0
92,8.418,,33,173.0
93,8.500,,11,173.0
94,Maisel,,13,173.0
95,Robertson,,17,173.0
96,Hickman,,57,173.0
97,Brimmer,,71,173.0
98,Burns,,76,173.0
99,Daane,,80,173.0
100,Heﬂin,,26,173.0
101,Mitchell,,5,173.0
102,Sherrill,,15,173.0
103,Swan,,45,173.0
104,Treiber,,14,173.0
105,Francis,,58,173.0
106,0,,22,173.0
107,7.500,,13,174.0
108,7.500,,11,174.0
109,7.500,,17,174.0
110,7.500,,26,174.0
111,7.500,,33,174.0
112,7.500,,49,174.0
113,7.500,,64,174.0
114,7.500,,71,174.0
115,7.500,,76,174.0
116,7.500,,80,174.0
117,7.500,,5,174.0
118,7.500,,14,174.0
119,7.500,,15,174.0
120,7.500,,22,174.0
121,7.500,,27,174.0
122,7.500,,45,174.0
123,7.500,,58,174.0
124,7.500,,13,175.0
125,7.500,,49,175.0
126,11,,17,175.0
127,18,,57,175.0
128,7.483,,71,175.0
129,7.500,,11,175.0
130,Burns,,26,175.0
131,Maisel,,32,175.0
132,Daane,,33,175.0
133,Heﬂin,,64,175.0
134,Mitchell,,76,175.0
135,Sherrill,,52,175.0
136,Brimmer,,15,175.0
137,Francis,,45,175.0
138,Hayes,,27,175.0
139,Hickman,,58,175.0
140,0,,14,175.0
141,6.313,,71,176.0
142,6.313,,49,176.0
143,6.313,,11,176.0
144,6.313,,13,176.0
145,6.313,,17,176.0
146,6.313,,26,176.0
147,6.313,,32,176.0
148,6.313,,33,176.0
149,6.313,,64,176.0
150,6.000,,76,176.0
151,6.000,,27,176.0
152,6.000,,52,176.0
153,6.313,,58,176.0
154,6.313,,14,176.0
155,6.313,,15,176.0
156,6.313,,22,176.0
157,6.313,,45,176.0
158,Morris,,49,177.0
159,Brimmer,,71,177.0
160,Burns,,58,177.0
161,Francis,,11,177.0
162,Hayes,,13,177.0
163,Hickman,,26,177.0
