Date,interlocutor_name,statement _size,statement,statement_number,chair_in_charge
2014-03-19,CHAIR MR,-1,,statement_0,CHAIR YELLEN
2014-03-19,MR My,52,f from to means that expectations t with ten theyre as fairly MR The is implied So dealers Those We the look dots few There some expect them he run the eral rate will The sare down lower run eral So would its a participants have down How leaves its a gone,statement_1,CHAIR YELLEN
2014-03-19,CHAIR MR,3,Whats with the,statement_2,CHAIR YELLEN
2014-03-19,MR It,32,time MR Its e comparing For So first was run eral te added ﬂ No ﬂ Heres the volumes stable parties weve done change its Is And from MR Thats MR it,statement_3,CHAIR YELLEN
2014-03-19,MR We,48,we that a For ther more by trying balance for balance But counterparties e its probably in in theres as Is t longer term curious MR werent a and uncertainty how be of that some triparty behavior caused are a nstrumentnot as treated push research within t probably,statement_4,CHAIR YELLEN
2014-03-19,MR CHAIR,-1,,statement_5,CHAIR YELLEN
2014-03-19,CHAIR MR,5,other Im MR that shows,statement_6,CHAIR YELLEN
2014-03-19,MR MR,61,t ﬁSummary Economic for higher pointed ne As look take it dealer for December and March funds then dealer And hing about more perhaps expected leading them MR have just press MR Heres y : end statements Oxley Bank little  billion if is of our held going as answering My advantage paper out eference memo it explain : What g,statement_7,CHAIR YELLEN
2014-03-19,MR MR,22,his potential e be it because substantial We developing as what s the are engaging stead taking o who participants itand really,statement_8,CHAIR YELLEN
2014-03-19,MR CHAIR,-1,,statement_9,CHAIR YELLEN
2014-03-19,CHAIR MR,13,Presiden t and MR You hard to any that came because MR about,statement_10,CHAIR YELLEN
2014-03-19,CHAIR MR,29,hart you three year inflation nited tates MR mentioning is  is as line line is to that MR A into What percent  have It a of tenths,statement_11,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_12,CHAIR YELLEN
2014-03-19,MR MR,47,a Erics basically accommodation what MR lers and this think with the and the is to uite to use They access that that I I MR I staff inflation actually before like three and And increasingly has MR The headline a ast  MR Two CHAIR motion,statement_13,CHAIR YELLEN
2014-03-19,MR CHAIR,537,economic MR  Ill creatively the the term growth right irst week overall and weaker out whats growth taking unemployment been t trying term could firsthand his appears  at count Tealbook nt undertaken summarized roughly vidual extreme national related measures our these cold  the Adding weather related best guessas is that GDP tenths expect afte r on Some would assessment effects suggest Our unexpected areas spending Thus a likely few up January it ecast made lines in cts close unrevised comparing tenths As in has for have rate forecast in assessment The left latest gap January output for one r noting middle unemployment rate In growth With side rounds  eventually be related Committees ate done Turning PCE shown expectations closed this morning the these and ed essentially headline therefore inflation increase especially that I e slow anchored projection MR mpanied the awful ly productive omments Reserve to monetary markets emphasizing and clearly communicating the Federal that market Indeed converges foreign percent last the area slack The of the point rica surprising projecting The infl ation which will some we has threshold as The area omy so the purchases in rate As heard tighten and ible markets not In ction tapering difficult segments policy part and vulnerable able market tightening However maintain investment could light nts First s and recent growth e the auto that have that has and that has by been flatten y fundamental structural from nd anticipating they rates econo mic A policy right projecting Tealbook  rst projection the authorities up greater having depreciation current rter Chinese rebalances medium term t data Chinese creating problems deeper At global risks are contracting dire straits conditions problems spillovers economy West global considerably submissions MS  referring Material for efing trajectories appropriate monetary top growth year back in quarter that the your bottom the next it  ective Exhibit December Summary and panel revisions to growth noting transitory unusually weather of for and longer moved in central for rate reflecting the unemployment in the  projections nearly Tealbook recast near tendencies Tealbook move central just y the tendencies throughout projection Exhibit the that it panel exhibit assessments level target of longer in for number over median   o projections unemployment standard the level With assessment mption baseline concluding the what than Exhibit year above likely chart Your from projections For rate ject will and Committees run The inty surrounding column GDP he  in over the in unemployment righthand of ou December downside concludes arks CHAIR Rosengren MR The our on line lly out basically my median forecast is tenths in you they will over sector do will all My alternative the isk s Uncertainty in have s off at percent this that its the more at differences s financial stabilit y for which about youre merging s emerging Would MR first ulation types side strictly economic effects e themselves tosafety of of shocks ums shocks reasury hat in ur You are Europe thought n December le certain nited exposures five fragile at United we I Kingdom to exposure too effect would However knowing for area euro area an contagion MR related ﬁyesﬂ year  happenstance that we quarter complicated and fourquarter seen,statement_14,CHAIR YELLEN
2014-03-19,CHAIR MR,-1,,statement_15,CHAIR YELLEN
2014-03-19,MR KOCHERLAKOTA,21,: ﬁmonitoring evidence welcome MR good see that slack full utilization I Weve rule percent might s are do material to,statement_16,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_17,CHAIR YELLEN
2014-03-19,MR AKOTA,0,,statement_18,CHAIR YELLEN
2014-03-19,CHAIR MR,12,is unemployment in second have you MR For that have is Laughter,statement_19,CHAIR YELLEN
2014-03-19,MR MR,7,reports the ed employment would either at,statement_20,CHAIR YELLEN
2014-03-19,MR CHAIR,2,Fisher tendency,statement_21,CHAIR YELLEN
2014-03-19,MR MR,87,natural the chart go s about see  historical not MR associated there market s rates to s saw s seemed at The going term forecast normally assumption are MR that obviously sense and how MR There uncertainty MR sided MR With I term you activity round think and trucks cetera quite but ignore affected transport And that I e significantly export tremendously wanted recovery MR e MR ell hat that past and reforms things disappointment f just series in forecast been that maybe underlying that we,statement_22,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_23,CHAIR YELLEN
2014-03-19,MR WILCOX,138,that you about the of thing absorption buffering unintentional MR They Michigan CHAIR Vice Dudley VICE the staff to I with change in interest fact If are basically tenths and tenths the a two tenths offset a rate tenth percent age at central actually So essentially like projections es one this In because have upward Committee either inte rest CHAIR on for with VICE throw have MR ecast just so his precisely our monetary So hat guidance date there ime s After inertial   s in the hat is back that is monetary as he assumption VICE feeds through MR But and revisions CHAIR hander MR man raises eral participants at give appropriate just So alternative fed is because are MR Thomas EP contributions could There was who in and matters that looking who  rule funds,statement_24,CHAIR YELLEN
2014-03-19,CHAIR MR,242,couple themthat With whats  we ay  is what impact through that follows of but over Is that conflict it they ussians MR there are affect the with normal : magine located getting is widely in the effect would small less han  too of effect that is probably rcent and in weight exposure its itself effect such Those effects ible Ukraine that would Russia large percent world impacts are huge The impacts that If deepen such Europe Ukraine though  one area But he right recovered probably were not that geopolitical roblems way really impact particularly Europe On China the market financial So economy the simulation historical standards percent baseline seems moderately I financi al fell  to advanced in the percent in that CHAIR goround President MR m In winter Let winter when istrict economy back inning difficult reflects For company winter reports about percent has This Now generally e contact story called Still real percent This due underlying Looking for continuing  Although to as sector risome I uses ﬁweather ﬂ expected lso s off in durable As investors my presence in home relative investors pencil But aff has decline were very specific factor their empirical winter mortgage the related District ointing housing recovery Turning it target of stubbornly percent remains muted re modest On participants to This saying that inflation So neutral lation next percentage point ust on rates PCE inflation we nd percent to and Thank,statement_25,CHAIR YELLEN
2014-03-19,CHAIR MR,153,declined uses ﬁweather ﬂ counted s evere the moderate Manufacturing Business who weather Unemployment employment ains and Regional with moderate business severe by included deliveries and The index nine with the in were lost This ame rrent strength manufacturers the and Our manufacturing worked all back there reversal saw ly Retailers District mall fifths of s out their retail Homebuilders builder ed quarter primarily because that existing region year ago On permits d the is strongest particular moved ed continued optimistic The reason in I this return ing its steady which ed by a percent by assess ral inflation forecast My with program sooner guidance rate path gradual returning or While ee circumstances a that headwinds r the six that we than incomeŒtargeting ote inflation In r their is some as why economic possibility currently Our continues symmetric I somewhat ourselves think ility function is and positive I struck s closer critical framework,statement_26,CHAIR YELLEN
2014-03-19,CHAIR MR,92,of then estimate means recession Because tion target eral of we explicit is as I associated my orecast staff impact of quarter the impact effect on quarters My quarter below implies growth been  even provide sustaining While to A that the the much US possibility banks less reverberations severe have year Treasury fairly below percent the on lerating growth A Not but y of the our more traditional  measure reporting time announcement time working   that the time conditions that nlike there While much measures appears one compensation highly,statement_27,CHAIR YELLEN
2014-03-19,CHAIR MR,64,on term However unusually For healthy Midwest related business the expect ill conversations actual surprising inventories need On input wit h accounts indicated ls those Of I Sure complaints added of My say skilled saying also e about order With to down Looking appears average ur kind However changed does  isnt slack anchored weve we seriously when to The about view ll Chair,statement_28,CHAIR YELLEN
2014-03-19,CHAIR MR,13,am adverse still positive Firms under resemble most recent District reported hat Thats,statement_29,CHAIR YELLEN
2014-03-19,MR MR,45,decline all demand instance The r commercial heard domestic consistent quarter  has University In quarter softness off broadly emerging have from As balance Recent rate very that workforce used conditions  taken Low be may forecast Chair CHAIR mal meeting MR which who dove,statement_30,CHAIR YELLEN
2014-03-19,CHAIR MR,133,and cats wear Very would running unemployment across year fortunate Texas New which So have Governor anecdotal weather normality UPS expects and homebuilders There hearing national ineligible particularly time talking time With all is independents provide should decline affected have Most know manufacturingin and data ear: tobill time developmentperhapsif Then District in your Ill quote: regulation Wages are effectively will concerns Federal rict I from what the accommodation some evidence the end correctly rose highest tosales again  q is offunds report  were houses was Ive t spread year Friday unravel  Verizon Highly so  running the minus note desk So at balance resumed far and y the have including until ability Im talk point situation presentation as whether commodities industries the that shorts and bottomed Soybeans s could it Thank,statement_31,CHAIR YELLEN
2014-03-19,CHAIR MS,54,overly ntacts alluded a As term reaching continue percent by consumer unchanged t to percent Because current abor indicators substantially recent back the Stronger accommodat ive suggest tepid ng it gain assess ment clarity continue bjective running based done ttributable inflation continue stable process forecasts to which In a key year plausible unemployment unemployment,statement_32,CHAIR YELLEN
2014-03-19,CHAIR YELLEN,1,Coffee,statement_33,CHAIR YELLEN
2014-03-19,CHAIR YELLEN,140,Lacker MR as to there retail ctor weakness was a and rently heavily comments related delays and catch Manufacturing shortages natural related down sense ys and weekend Sixth Disruptions ism storms consumers surge The evidently asnt our t related which strengthening does optimism Turning much necessitated at weve The in by two growth year For Were nce the because conditions y think been r terribly This workers bor in improve rise or ore when discussed labor Economic and A estimates participation Brookings article effects riation end the rate accounted consistent recession paper others delay Economic it and labor correlation between unemployment unemployment falling iated the of markets On turns side the labor irectly to force properly given force attachment In whether their different evidence n employable essentially Preliminary the This broad f line communicate dence measured array shouldnt ng normal,statement_34,CHAIR YELLEN
2014-03-19,CHAIR MR,76,during se Participation just that in ble during President ation Lacker has unemployment finish labor Turning sales during February residential home digit and but St has A related is actually adjustmentsﬂ February had too ocosm period For reverse ll stronger St percent Our economic state submission percen t inflation but I moving growth ors have macroeconomic quarter scenario There the most out ct in The not ring dangerous from FOMC nevertheless the On are I further,statement_35,CHAIR YELLEN
2014-03-19,CHAIR MS,64,expand my The prices District invest inventories which January WTI In  Strong the to the Gains demand values s percent percent a My revise nt more than expected nonresidential induced during staff the Looking term pect trend growth real ook domestic profits regulation persistent One publicly traded I developed by the ercent age percentage over year working indicates ose about With market to,statement_36,CHAIR YELLEN
2014-03-19,CHAIR MR,88,national ains   returning l outlook tic assumption This is playing question ty my is statistical based Rather need case This in muted compensation where unemployment I policy inflation target considerable relatively rcent medium above suggest Committee The  we  by purposely Now remarks persistent ly Persistently the the there persistently slack that resources Now market  remains rs fraction historical as hat into is fin ding rate employment to low playing I f American it consistent inflation liver as I the the response to target,statement_37,CHAIR YELLEN
2014-03-19,CHAIR VICE,62,from rrent weather because perce ntage going Also expect in quarter think optimistic lived known prognosticator Being There growth That from take quarter household activity taken expected There faster have reverse earlier nd push effects there is would My economy fiscal buoyant bagﬂ forecast On to spend concerned expectations Compensation inflation Also reasons factors care trends tim e Medicare once feed more,statement_38,CHAIR YELLEN
2014-03-19,CHAIR MR,5,ing person should MR prize,statement_39,CHAIR YELLEN
2014-03-19,MR MR,128,table in development although those at Like President although agreement should exactly the rate I consequent for each in such there piece levels reflected  We tentatively prior US curve lot of at trends either crisis accelerated already some There explanations something now because omit unless will and on recession I has bstantially term assures term important slack questions making ultimate Now oyment directly pressure rates slack argument fact er term term unemployed much time which Given Beveridge ng term Diamond uncertain have intense Going finding s longterm term unemployedthough former that term ployed remained term and would very point limited A but point observation have couple undesirable but economy to consumption production Uncertainty labor has mixed period Just round see least But part years engendered Thank you,statement_40,CHAIR YELLEN
2014-03-19,CHAIR MR,102,recent to and to er balance to come less house amentals I how market result person weeks that trying choice another There some that g story participants terms that I fact where te termsﬂ President prices just President said been over at the  yield they undred points Another arvard Business School Robin returns model yield guys attractive ability squared model are because yield high To obviously investing somewhere e paint low I flirting really that more less market bad not correlational Having policy makes have because especially some In stability bit me important manage manage I too too the continue do,statement_41,CHAIR YELLEN
2014-03-19,CHAIR MR,33,remains my Im et others as change expectations more hard disag reement the The ng normalization confusing again The how ng thatIm Another have basis points in in front dont its like the,statement_42,CHAIR YELLEN
2014-03-19,MR MR,440,The Simpsons MR risk and With slack compensation on currently good disproportionate unusually time fully For understates erstates usual economy tight market growth of As but the d incorre ctly term downward the fact inflation for benefits theres r return without Moving at Gordon that h employers unemployed unemployment d erterm should periods s been category More risk nce compensation the inflation  only wages nonsupervisory beginning the re would there levels tightness CHAIR observations I said tice which here every uring I I something o comments on incoming ing track improvement ct says market your reflects assess n have happening and improvement me and Of market rebutted term unemployment diminished We  perfect indicators rate U yet time We and running unemployment people The markets many believe mentioned like come workers this kinds market On enough basically theres fact t faked the were ng December momentum I confidencethe spending any increase impact and Regarding with financial stability equity that subtle On statement would seem and forecasts that slack anchored caution over Id with enough firm that Id with ents improvement around  until labor case pace better Tealbook think shifted uld long run employment Finally uncomfortably understand much on measures were term boosted damaging possibility Let I on MR  be were Monetary The first shows under three  materi als used Mr English appended transcript appendix  k under certainty almost rogram dealers this significant tees term economic The left expectations funds ate unemployment projected percent The ight funds As solid add median person observation shown small a March the anticipate run shown for The Committees quantitative emphasize respondents gh expecting funds Committee er most current expectations normalization Turning to expected nd approaching rate The developments weather relatively han specifically adopts graduallyﬂ for Paragraph and strength conditionsﬂ The Committees assessment both toward maximum that onﬂ The likely ends below  run term remain provides state contingent contingent Alternative post liftoff uidance removing employment consistent may term Committee a expressed Paragraph conditions guidance balance should sponse federal statement normalization new interpreted ter m for of spending employment alternative B Accordingly asset hases possibility stepsﬂ Alternative contingent the ral will asset liftoff A cision would time expected f steepen term prices Finally ho that toward strengthen objective Regarding recovery  accoun ting ﬁtilted continuation In the maintain language ittees target one term expectations Alternative a A xplicit quantitative push on term es likely Draft are your CHAIR ou MR the seem whatever in second of or the imponderable on threshold recently and that e March anything expectation have MR about saying January saying the they than that been its they,statement_43,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_44,CHAIR YELLEN
2014-03-19,MR VICE,10,DUDLEY that as more MR they its parts nal point,statement_45,CHAIR YELLEN
2014-03-19,CHAIR MR,37,challenge ed concerning is meeting make P This time of at SEP would if MR everyone MR ﬂ somewhere looked MR Which MR explain the MR story that from January sogood markets as see data s improved,statement_46,CHAIR YELLEN
2014-03-19,VICE MR lower,16,lower tenths MR yes measures unemployment MR in might bound as people that sending the rd,statement_47,CHAIR YELLEN
2014-03-19,CHAIR MR,31,thank Bill l the In and of VICE say saying the VICE DUDLEY task : CHAIR conference VICE broad So attention second you o MR of here h that MR unfortunate,statement_48,CHAIR YELLEN
2014-03-19,MR LAKOTA,3,CHAIR out he,statement_49,CHAIR YELLEN
2014-03-19,CHAIR MR,1,by,statement_50,CHAIR YELLEN
2014-03-19,MR MR,-1,,statement_51,CHAIR YELLEN
2014-03-19,MR MR,1,and,statement_52,CHAIR YELLEN
2014-03-19,CHAIR MR,-1,,statement_53,CHAIR YELLEN
2014-03-19,MR MR,14,been dots way this lects move This fine rest markets and to guidance when,statement_54,CHAIR YELLEN
2014-03-19,MR MR,2,is remediate,statement_55,CHAIR YELLEN
2014-03-19,MR CHAIR,-1,,statement_56,CHAIR YELLEN
2014-03-19,CHAIR VICE,11,attention distributions with The what ncertainty two MR marginally asymmetry want,statement_57,CHAIR YELLEN
2014-03-19,CHAIR So,24,forgiveness resume Meeting ession CHAIR into MR incoming r There date Adding to that  forward change have term of program of ect employment,statement_58,CHAIR YELLEN
2014-03-19,CHAIR MR,112,alternative want data h thinking future options And ne the continue ram earlier tweak I currently quicker suggest is prepared this before the necessitate to in we Committee that will considerable ﬁtarget is perhaps in I I triggers tion and strategy time communications as go As about reference o function to Regarding simplification sentence I think says term run after discussed different than normal could that stories will they identified I s Committee different statement for elevating I of about SEP consensus different perhaps position we further the lower do My we second to term ﬁshort term uld term I to foreshadowing risk sending rate Committee consistent funds be deral term Madam,statement_59,CHAIR YELLEN
2014-03-19,CHAIR MR,100,so paragraph accommodation achieve framework In courseﬂ some informationﬂ purchase question that is specific communications my nterpretation months communicated Regarding Plo sser not about sentence and accommodation Im at the liftoff the rate might ent simply sentence Beyond ahead As a meeting asset in Regarding to language e Im framework satisf ied awkward Regarding version CHAIR N MR since target inflation the So guidance provides to consistent rding enough see mittee commit that Paragraph misinterpret Any or off ﬂ being In explicit word tinue range In paragraph that term federal and at framework term ratesﬂ at instrument term using point,statement_60,CHAIR YELLEN
2014-03-19,CHAIR MR,83,its our with paragraph until language guidance  remain alternative n My release tightening SEP federal funds  dealers current The accommodation  purchases liftoff they Turning specific sentence that sentence Frankly stronger expecting weak medians that release floor ard our adopting target Committee would run In expectation this earlier participants look the almost To portant part remain would rchases additional months me those oriented to time Madam statement April inadvertent tightening alternative The l version a well term paragraph After the Thank,statement_61,CHAIR YELLEN
2014-03-19,CHAIR MR,91,results results om language should To ing paragraph paragraph guidance ve I can the we have we Now assumption o the say does regated been show both everyone cases public various lower There le to fiscal that weve such technological e preferences are for to Theres ion persistent demographics several rked on ately factors expectations Precisely around even made as se the crisis I term rate that ge paragraph much position is might potential I proposition President made President in the meeting give immediate Committee ave may the of I federal,statement_62,CHAIR YELLEN
2014-03-19,CHAIR MS,32,and continue todays issue We guidance mentioned three determine inflation quantitative provide ther expectations All including emium I situations The thats evolved support B preferen ce term rates shortterm and message federal,statement_63,CHAIR YELLEN
2014-03-19,CHAIR MR,196,opportunity that ntinuity forward I sentence and mentioned this Taken strived this now Second has look looks something Id consistent have run consistentﬂ longerrun Now possibility and some equilibrium might meeting Besides have we like specificity For better And term would term at MR today appropriate and g a think marke t being So reactions wisdom dependence paragraph accommodation that fect footnoting changes example changed because were had referential counterproductive Having that it and it would meaning wouldnt All ependence timeﬂ the is contingent written FOMC around this table means many change state contingent of based calendar Committee calendar n And The  a like Chairman Its there could the the d are difference to somebody we rrently That think renewed eport out now t this some orb Concerning convinced moved thats the they have the changing actually better Im sentence ﬁkeeping I not low inflation Tarullo theres that future these shocks the world The here were story optimistic keeping through not l than are the looked the t that it keeping then ld from uncharacteristically might historically period special interest Were very questions economy and in target ut rates in My term I rate Plosser,statement_64,CHAIR YELLEN
2014-03-19,CHAIR MS,102,a more radual normalization a prescriptions policy on the past positive of  conditions ping return conditions At recovery lingering with antial and That ighlight stance alternative ﬁSupply Side because also grappling growth potential Second extended continue ntacts terms accelerate loans at burdens Finally hat funds term the CHAIR and for our grade earnings corporations k not robustly creating ex the Im ms referring triple Csyou And key the careful m I reduction push than even President this and the were Governor and our and most the without we in t Lockhart it o short term I if say ﬁlikelyﬂ either agree,statement_65,CHAIR YELLEN
2014-03-19,MR LIAMS,10,MR stated B next a o interesting against Madam Chair,statement_66,CHAIR YELLEN
2014-03-19,CHAIR MR,-1,,statement_67,CHAIR YELLEN
